A,Code,Name,City,Country,LA1,LA2,LA3,LA4,LO1,LO2,LO3,LO4,Alt,Lat,Long
AYGA,GKA,GOROKA,GOROKA,PAPUA NEW GUINEA,006,004,054,S,145,023,030,E,01610,-6.082,145.392
AYLA,LAE,0000,LAE,PAPUA NEW GUINEA,000,000,000,U,000,000,000,U,00000,0.000,0.000
AYMD,MAG,MADANG,MADANG,PAPUA NEW GUINEA,005,012,025,S,145,047,019,E,00007,-5.207,145.789
AYMH,HGU,MOUNT HAGEN,MOUNT HAGEN,PAPUA NEW GUINEA,005,049,034,S,144,017,046,E,01643,-5.826,144.296
AYNZ,LAE,NADZAB,NADZAB,PAPUA NEW GUINEA,006,034,011,S,146,043,034,E,00073,-6.570,146.726
AYPY,POM,PORT MORESBY JACKSONS INTERNATIONAL,PORT MORESBY,PAPUA NEW GUINEA,009,026,036,S,147,013,012,E,00045,-9.443,147.220
AYRB,RAB,0000,RABAUL,PAPUA NEW GUINEA,000,000,000,U,000,000,000,U,00000,0.000,0.000
AYWK,WWK,WEWAK INTERNATIONAL,WEWAK,PAPUA NEW GUINEA,003,035,001,S,143,040,009,E,00006,-3.584,143.669
BGAM,0000,0000,ANGMAGSSALIK,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGAS,0000,0000,ANGISSOQ,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGAT,0000,0000,APUTITEQ,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGBW,UAK,NARSARSUAQ,NARSSARSSUAQ,GREENLAND,061,009,040,N,045,025,039,W,00035,61.161,-45.427
BGCH,JCH,0000,CHRISTIANSHAAB,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGCO,0000,NERLERIT INAAT CONSTABLE PYNT,NERLERIT INAAT,GREENLAND,070,044,022,N,022,038,045,W,00014,70.739,-22.646
BGDB,0000,0000,DANEBORG,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGDH,0000,0000,DANMARKSHAVN,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGDU,0000,0000,DUNDAS,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGEM,JEG,0000,EGEDESMINDE,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGFD,0000,0000,FREDERIKSDAL,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGFH,JFR,0000,FREDERIKSHAAB,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGGD,JGR,0000,GRONNEDAL,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGGH,GOH,NUUK,GODTHAAB,GREENLAND,064,011,027,N,051,040,041,W,00087,64.191,-51.678
BGGN,JGO,0000,GODHAVN,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGHB,JHS,0000,HOLSTEINSBORG,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGIS,0000,0000,ISORTOQ,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGIT,0000,0000,IVIGTUT,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGJH,JJU,0000,JULIANEHAAB,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGJN,JAV,JACOBSHAVN,JAKOBSHAVN,GREENLAND,069,014,000,N,051,004,000,W,00034,69.233,-51.067
BGKD,0000,0000,KAP DAN,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGKK,KUS,KULUSUK,KULUSUK,GREENLAND,065,035,000,N,037,009,000,W,00034,65.583,-37.150
BGKM,0000,0000,KUNGMIUT,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGKT,0000,0000,KAP TOBIN,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGMV,0000,0000,MESTERS VIG,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGNN,JNN,0000,NANORTALIK,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGNS,JNS,0000,NARSSAQ,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGOS,0000,0000,ORSSUIORSSUAQ,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGPC,0000,0000,PRINS CHRISTIAN SUND,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGRS,0000,0000,RAVNS STORO,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGSC,0000,0000,SCORESBYSUND,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGSF,SFJ,KANGERLUSSUAQ SONDRE STROMFJORD,SONDRESTROM,GREENLAND,067,001,001,N,050,041,021,W,00051,67.017,-50.689
BGSG,0000,0000,SERMILIGAO,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGST,JSU,0000,SUKKERTOPPEN,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGTL,THU,THULE AIR BASE,THULE,GREENLAND,076,031,052,N,068,042,011,W,00077,76.531,-68.703
BGTM,0000,0000,TINGMIARMIUT,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGTN,0000,0000,TINITEQILAQ,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGUM,0000,0000,UMANAK,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGUP,JUV,0000,UPERNAVIK,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BIAR,AEY,AKUREYRI,AKUREYRI,ICELAND,065,039,035,N,018,004,021,W,00002,65.660,-18.072
BIBL,0000,0000,BLONDUOS,ICELAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BIDV,0000,0000,DJUOIVOGUR,ICELAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BIEG,EGS,EGILSSTADIR,EGILSSTADIR,ICELAND,065,017,000,N,014,024,005,W,00024,65.283,-14.401
BIFM,0000,0000,FAGURHOLSMYRI,ICELAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BIGR,GRY,0000,GRIMSEY,ICELAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BIHN,HFN,HORNAFJORDUR,HOFN,ICELAND,064,017,044,N,015,013,038,W,00008,64.296,-15.227
BIHU,HZK,HUSAVIK,HUSAVIK,ICELAND,065,057,008,N,017,025,033,W,00014,65.952,-17.426
BIIS,IFJ,ISAFJORDUR,ISAFJORDUR,ICELAND,066,003,029,N,023,008,007,W,00003,66.058,-23.135
BIKF,KEF,KEFLAVIK NAS,KEFLAVIK,ICELAND,063,059,006,N,022,036,020,W,00053,63.985,-22.606
BIKP,OPA,KOPASKER,KOPASKER,ICELAND,066,018,049,N,016,027,040,W,00007,66.314,-16.461
BIKR,SAK,0000,SAUDARKROKUR,ICELAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BINF,NOR,0000,NORDFJORDUR,ICELAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BIPA,PFJ,PATREKSFJORDUR,PATREKSFJORDUR,ICELAND,065,033,021,N,023,057,054,W,00004,65.556,-23.965
BIRG,RFN,0000,RAUFARHOFN,ICELAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BIRK,RKV,REYKJAVIK,REYKJAVIK,ICELAND,064,007,048,N,021,056,026,W,00015,64.130,-21.941
BISI,SIJ,SIGLUFJORDHUR,SIGLUFJORDUR,ICELAND,066,008,000,N,018,055,000,W,00004,66.133,-18.917
BISS,0000,0000,SANDSKEID,ICELAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BIST,0000,0000,STYKKISHOLMUR,ICELAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BITE,TEY,0000,THINGEYRI,ICELAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BITH,THO,0000,THORSHOFN,ICELAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BIVM,VEY,VESTMANNAEYJAR,VESTMANNAEYJAR,ICELAND,063,025,027,N,020,016,043,W,00100,63.424,-20.279
BIVO,VPN,0000,VOPNAFJORDUR,ICELAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BZGD,0000,0000,GODLEY,NEW ZEALAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
CUAP,0000,0000,ACTIVE PASS,CANADA,000,000,000,U,000,000,000,U,00000,0.000,0.000
CUHA,YQC,0000,QUAQTAQ,CANADA,000,000,000,U,000,000,000,U,00000,0.000,0.000
CUQC,0000,0000,STIRLING,CANADA,000,000,000,U,000,000,000,U,00000,0.000,0.000
CUUP,0000,0000,OTTAWA,CANADA,000,000,000,U,000,000,000,U,00000,0.000,0.000
CWBF,0000,0000,BATTLE HARBOUR,CANADA,000,000,000,U,000,000,000,U,00000,0.000,0.000
CWHJ,0000,0000,HOLBERG,CANADA,000,000,000,U,000,000,000,U,00000,0.000,0.000
CWMK,0000,0000,SIMCOE,CANADA,000,000,000,U,000,000,000,U,00000,0.000,0.000
CWMN,0000,0000,MOUNT FOREST,CANADA,000,000,000,U,000,000,000,U,00000,0.000,0.000
CWOH,0000,0000,SAINTE AGATHE,CANADA,000,000,000,U,000,000,000,U,00000,0.000,0.000
CWPC,0000,0000,PINCHER CREEK,CANADA,000,000,000,U,000,000,000,U,00000,0.000,0.000
CWPO,0000,0000,PILOT MOUNT,CANADA,000,000,000,U,000,000,000,U,00000,0.000,0.000
CWVA,0000,0000,BONAVISTA,CANADA,000,000,000,U,000,000,000,U,00000,0.000,0.000
CYAB,YAB,0000,ARCTIC BAY,CANADA,000,000,000,U,000,000,000,U,00000,0.000,0.000
CYAJ,0000,0000,KOMAKUK,CANADA,000,000,000,U,000,000,000,U,00000,0.000,0.000
CYAL,YAL,0000,ALERT BAY,CANADA,000,000,000,U,000,000,000,U,00000,0.000,0.000
CYAM,YAM,SAULT STE MARIE,SAULT SAINTE MARIE,CANADA,046,029,006,N,084,030,034,W,00193,46.485,-84.509
CYAV,YAV,WINNIPEG ST ANDREWS,WINNIPEG,CANADA,050,003,023,N,097,001,057,W,00232,50.056,-97.032
CYAW,YAW,SHEARWATER,HALIFAX,CANADA,044,038,023,N,063,029,058,W,00051,44.640,-63.499
CYAY,YAY,ST ANTHONY,ST. ANTHONY,CANADA,051,023,030,N,056,005,004,W,00029,51.392,-56.084
CYAZ,YAZ,TOFINO,TOFINO,CANADA,049,004,056,N,125,046,021,W,00025,49.082,-125.772
CYBA,0000,0000,BANFF,CANADA,000,000,000,U,000,000,000,U,00000,0.000,0.000
CYBB,YBB,KUGAARUK,PELLY BAY,CANADA,068,032,004,N,089,048,029,W,00018,68.534,-89.808
CYBC,YBC,BAIE COMEAU,BAIE COMEAU,CANADA,049,007,056,N,068,012,026,W,00022,49.132,-68.207
CYBG,YBG,BAGOTVILLE,BAGOTVILLE,CANADA,048,019,050,N,070,059,047,W,00160,48.331,-70.996
CYBK,YBK,BAKER LAKE,BAKER LAKE,CANADA,064,017,056,N,096,004,040,W,00018,64.299,-96.078
CYBL,YBL,CAMPBELL RIVER,CAMPBELL RIVER,CANADA,049,057,003,N,125,016,015,W,00106,49.951,-125.271
CYBR,YBR,BRANDON MUNI,BRANDON,CANADA,049,054,036,N,099,057,007,W,00410,49.910,-99.952
CYBT,YBT,0000,BROCHET,CANADA,000,000,000,U,000,000,000,U,00000,0.000,0.000
CYCA,YRF,0000,CARTWRIGHT,CANADA,000,000,000,U,000,000,000,U,00000,0.000,0.000
CYCB,YCB,CAMBRIDGE BAY,CAMBRIDGE BAY,CANADA,069,006,029,N,105,008,018,W,00028,69.108,-105.138
CYCD,YCD,NANAIMO,NANAIMO,CANADA,049,003,008,N,123,052,012,W,00029,49.052,-123.870
CYCG,YCG,CASTLEGAR,CASTLEGAR,CANADA,049,017,047,N,117,037,057,W,00495,49.296,-117.632
CYCH,YCH,MIRAMICHI,CHATHAM,CANADA,047,000,028,N,065,026,057,W,00033,47.008,-65.449
CYCL,YCL,CHARLO,CHARLO,CANADA,047,059,026,N,066,019,053,W,00041,47.991,-66.331
CYCO,YCO,KUGLUKTUK,COPPERMINE,CANADA,067,049,000,N,115,008,038,W,00023,67.817,-115.144
CYCS,YCS,0000,CHESTERFIELD INLET,CANADA,000,000,000,U,000,000,000,U,00000,0.000,0.000
CYCT,YCT,CORONATION,CORONATION,CANADA,052,004,030,N,111,026,043,W,00791,52.075,-111.445
CYCV,YCV,0000,MONTREAL,CANADA,000,000,000,U,000,000,000,U,00000,0.000,0.000
CYCW,YCW,CHILLIWACK,CHILLIWACK,CANADA,049,009,010,N,121,056,020,W,00010,49.153,-121.939
CYCX,0000,0000,CAMP GAGETOWN,CANADA,000,000,000,U,000,000,000,U,00000,0.000,0.000
CYCY,YCY,CLYDE RIVER,CLYDE RIVER,CANADA,070,029,010,N,068,031,000,W,00027,70.486,-68.517
CYCZ,YZS,FAIRMONT HOT SPRINGS,CORAL HARBOUR,CANADA,050,019,055,N,115,052,025,W,00811,50.332,-115.874
CYDA,YDA,DAWSON,DAWSON,CANADA,064,002,035,N,139,007,040,W,00371,64.043,-139.128
CYDB,YDB,BURWASH,BURWASH,CANADA,061,022,016,N,139,002,026,W,00807,61.371,-139.041
CYDC,YDC,PRINCETON,PRINCETON,CANADA,049,028,003,N,120,030,043,W,00701,49.468,-120.512
CYDF,YDF,DEER LAKE,DEER LAKE,CANADA,049,012,039,N,057,023,029,W,00022,49.211,-57.391
CYDL,YDL,DEASE LAKE,DEASE LAKE,CANADA,058,025,020,N,130,001,056,W,00793,58.422,-130.032
CYDN,YDN,DAUPHIN BARKER,DAUPHIN,CANADA,051,006,003,N,100,003,009,W,00305,51.101,-100.052
CYDQ,YDQ,DAWSON CREEK,DAWSON CREEK,CANADA,055,044,030,N,120,010,055,W,00655,55.742,-120.182
CYDR,0000,0000,BROADVIEW,CANADA,000,000,000,U,000,000,000,U,00000,0.000,0.000
CYED,YED,EDMONTON NAMAO,EDMONTON,CANADA,053,040,000,N,113,028,000,W,00000,53.667,-113.467
CYEG,YEG,EDMONTON INTERNATIONAL,EDMONTON,CANADA,053,018,035,N,113,034,047,W,00724,53.310,-113.580
CYEK,YEK,ARVIAT,ESKIMO POINT,CANADA,061,005,039,N,094,004,015,W,00010,61.094,-94.071
CYEN,YEN,ESTEVAN,ESTEVAN,CANADA,049,012,037,N,102,057,057,W,00581,49.210,-102.966
CYEP,0000,0000,ESTEVAN POINT,CANADA,000,000,000,U,000,000,000,U,00000,0.000,0.000
CYET,YET,EDSON,EDSON,CANADA,053,034,044,N,116,027,054,W,00927,53.579,-116.465
CYEU,YEU,EUREKA,EUREKA,CANADA,079,059,041,N,085,048,048,W,00079,79.995,-85.813
CYEV,YEV,INUVIK MIKE ZUBKO,INUVIK,CANADA,068,018,015,N,133,028,058,W,00069,68.304,-133.483
CYFB,YFB,IQALUIT,IQALUIT,CANADA,063,045,023,N,068,033,021,W,00034,63.756,-68.556
CYFC,YFC,FREDERICTON,FREDERICTON,CANADA,045,052,010,N,066,031,054,W,00021,45.869,-66.532
CYFE,0000,FORESTVILLE,FORESTVILLE,CANADA,048,044,046,N,069,005,050,W,00009,48.746,-69.097
CYFL,0000,0000,FORT RELIANCE,CANADA,000,000,000,U,000,000,000,U,00000,0.000,0.000
CYFO,YFO,FLIN FLON,FLIN FLON,CANADA,054,040,041,N,101,040,054,W,00304,54.678,-101.682
CYFR,YFR,FORT RESOLUTION,FORT RESOLUTION,CANADA,061,010,051,N,113,041,023,W,00161,61.181,-113.690
CYFS,YFS,FORT SIMPSON,FORT SIMPSON,CANADA,061,045,037,N,121,014,012,W,00170,61.760,-121.237
CYGA,0000,0000,GAGNON,CANADA,000,000,000,U,000,000,000,U,00000,0.000,0.000
CYGK,YGK,KINGSTON,KINGSTON,CANADA,044,013,031,N,076,035,049,W,00093,44.225,-76.597
CYGL,YGL,LA GRANDE RIVIERE,LA GRANDE RIVIERE,CANADA,053,037,031,N,077,042,015,W,00195,53.625,-77.704
CYGP,YGP,GASPE,GASPE,CANADA,048,046,031,N,064,028,043,W,00033,48.775,-64.479
CYGQ,YGQ,GERALDTON GREENSTONE REGIONAL,GERALDTON,CANADA,049,046,042,N,086,056,022,W,00349,49.778,-86.939
CYGR,YGR,ILES DE LA MADELEINE,ILES DE LA MADELEINE,CANADA,047,025,029,N,061,046,041,W,00011,47.425,-61.778
CYGT,YGT,0000,IGLOOLIK,CANADA,000,000,000,U,000,000,000,U,00000,0.000,0.000
CYGW,YGW,KUUJJUARAPIK,KUUJJUARARAPIK,CANADA,055,017,000,N,077,046,000,W,00020,55.283,-77.767
CYGX,YGX,GILLAM,GILLAM,CANADA,056,021,000,N,094,042,000,W,00144,56.350,-94.700
CYGY,0000,0000,DECEPTION,CANADA,000,000,000,U,000,000,000,U,00000,0.000,0.000
CYGZ,YGZ,0000,GRISE FIORD,CANADA,000,000,000,U,000,000,000,U,00000,0.000,0.000
CYHB,YHB,HUDSON BAY,HUDSON BAY,CANADA,052,049,000,N,102,018,041,W,00359,52.817,-102.311
CYHD,YHD,DRYDEN RGNL,DRYDEN,CANADA,049,049,054,N,092,044,039,W,00413,49.832,-92.744
CYHE,0000,0000,HOPE,CANADA,000,000,000,U,000,000,000,U,00000,0.000,0.000
CYHI,YHI,HOLMAN,HOLMAN ISLAND,CANADA,070,045,047,N,117,048,021,W,00036,70.763,-117.806
CYHK,YHK,GJOA HAVEN,GJOA HAVEN,CANADA,068,038,008,N,095,050,059,W,00047,68.636,-95.850
CYHM,YHM,HAMILTON,HAMILTON,CANADA,043,010,023,N,079,056,006,W,00238,43.173,-79.935
CYHO,YHO,0000,HOPEDALE,CANADA,000,000,000,U,000,000,000,U,00000,0.000,0.000
CYHU,YHU,ST HUBERT,MONTREAL,CANADA,045,031,003,N,073,025,001,W,00028,45.517,-73.417
CYHY,YHY,HAY RIVER,HAY RIVER,CANADA,060,050,023,N,115,046,058,W,00166,60.840,-115.783
CYHZ,YHZ,HALIFAX INTERNATIONAL,HALIFAX,CANADA,044,052,051,N,063,030,031,W,00146,44.881,-63.509
CYIB,YIB,ATIKOKAN MUNI,ATIKOKAN,CANADA,048,046,026,N,091,038,019,W,00430,48.774,-91.639
CYIO,YIO,POND INLET,POND INLET,CANADA,072,041,000,N,077,058,000,W,00056,72.683,-77.967
CYIV,YIV,0000,ISLAND LAKE,CANADA,000,000,000,U,000,000,000,U,00000,0.000,0.000
CYJA,0000,0000,JASPER,CANADA,000,000,000,U,000,000,000,U,00000,0.000,0.000
CYJN,YJN,ST JEAN,ST. JEAN,CANADA,045,017,040,N,073,016,052,W,00042,45.294,-73.281
CYJT,YJT,STEPHENVILLE,STEPHENVILLE,CANADA,048,032,039,N,058,033,000,W,00026,48.544,-58.550
CYKA,YKA,KAMLOOPS,KAMLOOPS,CANADA,050,042,008,N,120,026,031,W,00346,50.702,-120.442
CYKF,YKF,WATERLOO RGNL,WATERLOO,CANADA,043,027,032,N,080,023,004,W,00317,43.459,-80.384
CYKL,YKL,SCHEFFERVILLE,SCHEFFERVILLE,CANADA,054,048,018,N,066,048,019,W,00521,54.805,-66.805
CYKY,YKY,KINDERSLEY,KINDERSLEY,CANADA,051,031,003,N,109,010,051,W,00695,51.517,-109.181
CYKZ,YKZ,BUTTONVILLE MUNI,TORONTO,CANADA,043,051,044,N,079,022,012,W,00199,43.862,-79.370
CYLA,0000,0000,LANGARA,CANADA,000,000,000,U,000,000,000,U,00000,0.000,0.000
CYLC,YLC,0000,LAKE HARBOUR,CANADA,000,000,000,U,000,000,000,U,00000,0.000,0.000
CYLD,YLD,CHAPLEAU,CHAPLEAU,CANADA,047,049,012,N,083,020,047,W,00447,47.820,-83.346
CYLJ,YLJ,MEADOW LAKE,MEADOW LAKE,CANADA,054,007,031,N,108,031,022,W,00481,54.125,-108.523
CYLL,YLL,LLOYDMINSTER,LLOYDMINSTER,CANADA,053,018,033,N,110,004,021,W,00669,53.309,-110.072
CYLO,0000,0000,SHILO,CANADA,000,000,000,U,000,000,000,U,00000,0.000,0.000
CYLT,YLT,ALERT,ALERT,CANADA,082,031,004,N,062,016,050,W,00031,82.518,-62.281
CYLW,YLW,KELOWNA,KELOWNA,CANADA,049,057,022,N,119,022,040,W,00430,49.956,-119.378
CYLY,0000,0000,LYTTON,CANADA,000,000,000,U,000,000,000,U,00000,0.000,0.000
CYMA,YMA,MAYO,MAYO,CANADA,063,037,000,N,135,052,000,W,00504,63.617,-135.867
CYMD,0000,0000,MOULD BAY,CANADA,000,000,000,U,000,000,000,U,00000,0.000,0.000
CYMJ,YMJ,MOOSE JAW,MOOSE JAW,CANADA,050,019,049,N,105,033,033,W,00577,50.330,-105.559
CYMM,YMM,FORT MCMURRAY,FORT MCMURRAY,CANADA,056,039,012,N,111,013,019,W,00370,56.653,-111.222
CYMO,YMO,MOOSONEE,MOOSONEE,CANADA,051,017,028,N,080,036,028,W,00010,51.291,-80.608
CYMR,0000,0000,MERRY ISLAND,CANADA,000,000,000,U,000,000,000,U,00000,0.000,0.000
CYMW,YMW,MANIWAKI,MANIWAKI,CANADA,046,016,028,N,075,059,024,W,00201,46.274,-75.990
CYMX,YMX,MONTREAL INTERNATIONAL MIRABEL,MONTREAL,CANADA,045,040,047,N,074,002,019,W,00083,45.680,-74.039
CYNA,YNA,NATASHQUAN,NATASHQUAN,CANADA,050,011,023,N,061,047,021,W,00011,50.190,-61.789
CYND,YND,GATINEAU,GATINEAU,CANADA,045,031,017,N,075,033,051,W,00065,45.521,-75.564
CYNI,0000,0000,NITCHEQUON,CANADA,000,000,000,U,000,000,000,U,00000,0.000,0.000
CYNM,YNM,MATAGAMI,MATAGAMI,CANADA,049,045,042,N,077,048,010,W,00280,49.762,-77.803
CYNY,0000,0000,ENDERBY,CANADA,000,000,000,U,000,000,000,U,00000,0.000,0.000
CYO,0000,0000,WYNYARD,CANADA,000,000,000,U,000,000,000,U,00000,0.000,0.000
CYOC,YOC,OLD CROW,OLD CROW,CANADA,067,034,014,N,139,050,021,W,00252,67.571,-139.839
CYOD,YOD,COLD LAKE,COLD LAKE,CANADA,054,024,018,N,110,016,046,W,00542,54.405,-110.279
CYOJ,YOJ,HIGH LEVEL,HIGH LEVEL,CANADA,058,037,017,N,117,009,053,W,00339,58.621,-117.165
CYOW,YOW,OTTAWA MACDONALD CARTIER INTERNATIONAL,OTTAWA,CANADA,045,019,021,N,075,040,009,W,00114,45.323,-75.669
CYPA,YPA,PRINCE ALBERT GLASS FIELD,PRINCE ALBERT,CANADA,053,012,051,N,105,040,022,W,00429,53.214,-105.673
CYPE,YPE,PEACE RIVER,PEACE RIVER,CANADA,056,013,037,N,117,026,050,W,00571,56.227,-117.447
CYPF,0000,0000,ESQUIMALT,CANADA,000,000,000,U,000,000,000,U,00000,0.000,0.000
CYPG,YPG,SOUTHPORT,PORTAGE-LA-PRAIRIE,CANADA,049,054,010,N,098,016,029,W,00270,49.903,-98.275
CYPH,YPH,0000,INUKJUAK,CANADA,000,000,000,U,000,000,000,U,00000,0.000,0.000
CYPK,0000,PITT MEADOWS,PITT MEADOWS,CANADA,049,012,058,N,122,042,036,W,00004,49.216,-122.710
CYPL,YPL,PICKLE LAKE,PICKLE LAKE,CANADA,051,026,047,N,090,012,051,W,00387,51.446,-90.214
CYPN,YPN,PORT MENIER,PORT MENIER,CANADA,049,050,011,N,064,017,019,W,00051,49.836,-64.289
CYPQ,YPQ,PETERBOROUGH,PETERBOROUGH,CANADA,044,013,048,N,078,021,048,W,00192,44.230,-78.363
CYPR,YPR,PRINCE RUPERT,PRINCE PUPERT,CANADA,054,017,010,N,130,026,041,W,00036,54.286,-130.445
CYPY,YPY,FORT CHIPEWYAN,FORT CHIPEWYAN,CANADA,058,046,002,N,111,007,002,W,00232,58.767,-111.117
CYQA,YQA,MUSKOKA,MUSKOKA,CANADA,044,058,029,N,079,018,012,W,00282,44.975,-79.303
CYQB,YQB,QUEBEC JEAN LESAGE INTERNATIONAL,QUEBEC,CANADA,046,047,018,N,071,023,051,W,00075,46.788,-71.398
CYQF,YQF,RED DEER REGIONAL,RED DEER INDUSTRIAL,CANADA,052,010,043,N,113,053,035,W,00905,52.179,-113.893
CYQG,YQG,WINDSOR,WINDSOR,CANADA,042,016,032,N,082,057,020,W,00190,42.276,-82.956
CYQH,YQH,WATSON LAKE,WATSON LAKE,CANADA,060,007,004,N,128,049,019,W,00688,60.118,-128.822
CYQK,YQK,KENORA,KENORA,CANADA,049,047,018,N,094,021,047,W,00406,49.788,-94.363
CYQL,YQL,LETHBRIDGE,LETHBRIDGE,CANADA,049,037,049,N,112,047,059,W,00929,49.630,-112.800
CYQM,YQM,GREATER MONCTON INTERNATIONAL,MONCTON,CANADA,046,006,044,N,064,040,043,W,00071,46.112,-64.679
CYQN,0000,NAKINA,NAKINA,CANADA,050,010,058,N,086,041,047,W,00323,50.183,-86.696
CYQQ,YQQ,COMOX,COMOX,CANADA,049,042,039,N,124,053,012,W,00026,49.711,-124.887
CYQR,YQR,REGINA INTERNATIONAL,REGINA,CANADA,050,025,055,N,104,039,057,W,00578,50.432,-104.666
CYQT,YQT,THUNDER BAY,THUNDER BAY,CANADA,048,022,019,N,089,019,026,W,00200,48.372,-89.324
CYQU,YQU,GRANDE PRAIRIE,GRANDE PRAIRIE,CANADA,055,010,047,N,118,053,006,W,00670,55.180,-118.885
CYQV,YQV,YORKTON MUNI,YORKTON,CANADA,051,015,053,N,102,027,042,W,00499,51.265,-102.462
CYQW,YQW,NORTH BATTLEFORD,NORTH BATTLEFORD,CANADA,052,046,009,N,108,014,037,W,00549,52.769,-108.244
CYQX,YQX,GANDER INTERNATIONAL,GANDER,CANADA,048,056,013,N,054,034,005,W,00152,48.937,-54.568
CYQY,YQY,SYDNEY,SYDNEY,CANADA,046,009,041,N,060,002,052,W,00062,46.161,-60.048
CYQZ,YQZ,QUESNEL,QUESNEL,CANADA,053,001,034,N,122,030,036,W,00546,53.026,-122.510
CYRB,YRB,RESOLUTE BAY,RESOLUTE,CANADA,074,043,001,N,094,058,010,W,00066,74.717,-94.969
CYRI,YRI,RIVIERE DU LOUP,RIVIERE DU LOUP,CANADA,047,045,052,N,069,035,005,W,00131,47.764,-69.585
CYRJ,YRJ,ROBERVAL,ROBERVAL,CANADA,048,031,012,N,072,015,056,W,00179,48.520,-72.266
CYRM,YRM,ROCKY MOUNTAIN HOUSE,ROCKY MOUNTAIN HOUSE,CANADA,052,025,047,N,114,054,015,W,00989,52.430,-114.904
CYRT,YRT,RANKIN INLET,RANKIN INLET,CANADA,062,048,041,N,092,006,057,W,00029,62.811,-92.116
CYRW,0000,0000,TROIS RIVIERE,CANADA,000,000,000,U,000,000,000,U,00000,0.000,0.000
CYSA,0000,0000,SABLE ISLAND,CANADA,000,000,000,U,000,000,000,U,00000,0.000,0.000
CYSB,YSB,SUDBURY,SUDBURY,CANADA,046,037,030,N,080,047,056,W,00348,46.625,-80.799
CYSC,YSC,SHERBROOKE,SHERBROOKE,CANADA,045,026,017,N,071,041,026,W,00242,45.438,-71.691
CYSD,0000,0000,SUFFIELD,CANADA,000,000,000,U,000,000,000,U,00000,0.000,0.000
CYSF,YSF,0000,STONY RAPIDS,CANADA,000,000,000,U,000,000,000,U,00000,0.000,0.000
CYSJ,YSJ,SAINT JOHN,ST. JOHN,CANADA,045,018,058,N,065,053,025,W,00109,45.316,-65.890
CYSK,YSK,0000,SANIKILUAQ,CANADA,000,000,000,U,000,000,000,U,00000,0.000,0.000
CYSM,YSM,FORT SMITH,FORT SMITH,CANADA,060,001,020,N,111,057,037,W,00206,60.022,-111.960
CYSR,YSR,NANISIVIK,NANISIVIK,CANADA,072,058,056,N,084,036,049,W,00642,72.982,-84.614
